code,name,acronym,system,language,headquarters,jurisdiction,website,schools,students,staff,director,chair,trustees,focus
EP-01,Algoma District School Board,ADSB,English Public,English,"644 Albert Street East, Sault Ste. Marie, ON P6A 2K7","Algoma District (Sault Ste. Marie, Central Algoma, North Shore, Wawa, Chapleau, Hornepayne)",https://www.adsb.on.ca,43,10200,1600,Lucia Reece,Jennifer Sarlo,11,"Northern literacy initiatives, Indigenous culture integration, STEAM labs, outdoor trades, mining & forestry SHSM."
EP-02,Avon Maitland District School Board,AMDSB,English Public,English,"62 Chalk Street North, Seaforth, ON N0K 1W0","Huron & Perth Counties (Stratford, St. Marys, Goderich, Listowel, Exeter, Clinton)",https://www.amdsb.ca,39,15600,2200,Dr. Graham Shantz,Robert Hunking,9,"Pathways Innovation, Agriculture & Agri-business SHSM, Stratford Culinary Arts, Tech Centers, Dual Credits."
EP-03,Bluewater District School Board,BWDSB,English Public,English,"351 1st Avenue East, Chesley, ON N0G 1L0","Bruce & Grey Counties (Owen Sound, Hanover, Kincardine, Port Elgin, Meaford, Wiarton)",https://www.bwdsb.on.ca,50,18200,3000,Lori Wilder,Jane Thomson,9,"Nuclear energy tech partnership (Bruce Power), Agriculture SHSM, Outdoor Education (Wiarton), Ojibwe language."
EP-04,District School Board of Niagara,DSBN,English Public,English,"191 Carlton Street, St. Catharines, ON L2R 7P4","Niagara Region (St. Catharines, Niagara Falls, Welland, Fort Erie, Grimsby, Lincoln)",https://www.dsbn.org,95,41500,5500,Kelly Pisek,Sue Barnett,11,"DSBN Academy (first-generation post-secondary pathway), robotics, viticulture & horticulture tech, IB programs."
EP-05,District School Board Ontario North East,DSB1,English Public,English,"153 Croatia Avenue, Schumacher (Timmins), ON P4N 8N6","Cochrane & Timiskaming Districts (Timmins, Kirkland Lake, Cochrane, Hearst, Moosonee)",https://www.dsb1.ca,36,7400,1400,Lesleigh Dye,Steve Malciw,11,"1:1 digital innovation, heavy equipment/mining technology pathways, Moose Factory partnerships, Cree & Ojibwe."
EP-06,Durham District School Board,DDSB,English Public,English,"400 Taunton Road East, Whitby, ON L1R 2K6","Durham Region (Ajax, Pickering, Whitby, Oshawa, Clarington, Scugog, Uxbridge, Brock)",https://www.ddsb.ca,137,76500,10000,Camille Williams-Taylor,Donna Edwards,11,"Equity & human rights framework, French Immersion, automated manufacturing, clean energy tech, Cyber Education."
EP-07,Grand Erie District School Board,GEDSB,English Public,English,"349 Erie Avenue, Brantford, ON N3T 5V3","City of Brantford, Brant, Haldimand, and Norfolk Counties",https://www.granderie.ca,72,27200,4000,JoAnna Roberto,Susan Gibson,10,"Collaborative agreements with Six Nations / Mississaugas of the Credit, skilled trades, Cayuga & Mohawk languages."
EP-08,Greater Essex County District School Board,GECDSB,English Public,English,"451 Park Street West, Windsor, ON N9A 6K1","City of Windsor and Essex County (Amherstburg, Essex, Kingsville, Lakeshore, LaSalle, Leamington)",https://www.publicboard.ca,70,36500,4800,Vicki Houston,Gale Simko-Hatfield,10,"EV & automotive manufacturing tech, International Baccalaureate, newcomer language transition, STEAM."
EP-09,Halton District School Board,HDSB,English Public,English,"2050 Guelph Line, Burlington, ON L7P 5A8","Halton Region (Oakville, Burlington, Milton, Halton Hills/Georgetown)",https://www.hdsb.ca,107,66800,8000,Curtis Ennis,Amy Collard,11,"I-STEM Academies, high academic achievement, environmental sustainability, modern infrastructure, IB/AP."
EP-10,Hamilton-Wentworth District School Board,HWDSB,English Public,English,"20 Education Court, Hamilton, ON L9A 0B9","City of Hamilton (Urban Core, Ancaster, Dundas, Flamborough, Glanbrook, Stoney Creek)",https://www.hwdsb.on.ca,95,50500,7000,Sheryl Robinson Petrazzini,Maria Felix Miller,11,"Glendale Specialized Arts, Aviation & Aerospace SHSM, specialized health/medical sciences, human rights culture."
EP-11,Hastings and Prince Edward District School Board,HPEDSB,English Public,English,"156 Ann Street, Belleville, ON K8N 3L3","Hastings & Prince Edward Counties (Belleville, Trenton/Quinte West, Prince Edward County, Bancroft)",https://www.hpedsb.on.ca,39,15400,2100,Katherine MacIver,Shannon Binder,9,"Foundational literacy & numeracy, outdoor eco-learning, aerospace & trades partnerships with CFB Trenton, Mohawk language."
EP-12,Kawartha Pine Ridge District School Board,KPRDSB,English Public,English,"1994 Fisher Drive, Peterborough, ON K9J 6X6","Peterborough County, Northumberland County, and Clarington",https://www.kprschools.ca,87,35200,4500,Rita Russo,Jaine Klassen Jeninga,11,"Integrated mental health, experiential technology, environmental green schools, Trent/Fleming collaborations, IB."
EP-13,Keewatin-Patricia District School Board,KPDSB,English Public,English,"240 Veterans Drive, Kenora, ON P9N 3Y5","Kenora District and Patricia Portion (Kenora, Dryden, Sioux Lookout, Red Lake, Ear Falls)",https://www.kpdsb.on.ca,20,4900,1000,Christy Radbourne,Roger Griffiths,9,"Four Directions Indigenous Graduation Coach Program, wilderness education, heavy machinery/trades SHSM, Ojibwe & Oji-Cree."
EP-14,Lakehead District School Board,LDSB,English Public,English,"2135 Sills Street, Thunder Bay, ON P7E 5T2",City of Thunder Bay and surrounding rural municipalities,https://www.lakeheadschools.ca,25,8600,1500,Sherri-Lynne Pharand,Leah Vanderwey,8,"Anishinaabe cultural education, Kingfisher Lake Outdoor Education Centre, advanced aviation & sciences, Confederation College dual credit."
EP-15,Lambton Kent District School Board,LKDSB,English Public,English,"200 Wellington Street, Sarnia, ON N7T 7L2","Lambton & Chatham-Kent Counties (Sarnia, Chatham, Wallaceburg, Petrolia)",https://www.lkdsb.net,62,21900,3200,John Howitt,Randy Campbell,11,"Petrochemical/process operations SHSM, agriculture business SHSM, First Nations treaty education, French Immersion."
EP-16,Limestone District School Board,LDSB,English Public,English,"220 Portsmouth Avenue, Kingston, ON K7L 4X4","City of Kingston, Frontenac County, Lennox and Addington County",https://www.limestone.on.ca,60,19800,3100,Krishna Burra,Robin Hutcheon,9,"Queen's University research partnerships, LCVI Arts Focus, expanded skilled trades, Gould Lake outdoor education, IB."
EP-17,Near North District School Board,NNDSB,English Public,English,"963 Airport Road, North Bay, ON P1B 8H1","District of Nipissing, District of Parry Sound, and western Muskoka",https://www.nearnorthschools.ca,34,9900,1600,Craig Myles,Erika Lougheed,9,"Aviation SHSM (North Bay Airport), Canadore College dual credits, mining/forestry trades, Arts & Culture."
EP-18,Ottawa-Carleton District School Board,OCDSB,English Public,English,"133 Greenbank Road, Ottawa, ON K2H 6L3",City of Ottawa (National Capital Region),https://www.ocdsb.ca,141,76800,10000,Dr. Pino Buffone,Lynn Scott,12,"Canterbury Arts Program, High-Tech & Cybersecurity SHSM, comprehensive bilingual immersion, IB programs, multicultural reception."
EP-19,Peel District School Board,PDSB,English Public,English,"5650 Hurontario Street, Mississauga, ON L5R 1C6","Regional Municipality of Peel (Mississauga, Brampton, Caledon)",https://www.peelschools.org,260,153000,17500,Rashmi Swarup,David Green,12,"Regional Learning Choices Programs (RLCP), SciTech academies, transformative equity and anti-racism directives, IB."
EP-20,Rainbow District School Board,RDSB,English Public,English,"408 Wembley Drive, Sudbury, ON P3E 1P2","Greater Sudbury, Espanola, Manitoulin Island",https://www.rainbowschools.ca,36,14100,2000,Bruce Bourget,Bob Clement,9,"Mining, Environmental & Health SHSM, Sudbury Integrated Arts, Ojibwe language immersion, environmental regreening."
EP-21,Rainy River District School Board,RRDSB,English Public,English,"522 Second Street East, Fort Frances, ON P9A 1N4","Rainy River District (Fort Frances, Atikokan, Emo, Rainy River)",https://www.rrdsb.com,15,2500,500,Heather Campbell,Jeff Lehman,6,"Early years literacy hubs, community experiential learning, Indigenous culture camps, trades & manufacturing SHSM."
EP-22,Renfrew County District School Board,RCDSB,English Public,English,"1270 Pembroke Street West, Pembroke, ON K8A 4G4","Renfrew County (Pembroke, Petawawa, Renfrew, Arnprior, Deep River)",https://www.rcdsb.on.ca,28,9400,1600,Kristen Niemi,Susan Humphries,8,"Nuclear science & energy SHSM (Chalk River Labs), CFB Petawawa military family support, forestry & environment."
EP-23,Simcoe County District School Board,SCDSB,English Public,English,"1170 Highway 26, Midhurst, ON L9X 1N6","County of Simcoe, City of Barrie, City of Orillia",https://www.scdsb.on.ca,105,54500,7000,John Dance,Jodi Lloyd,12,"Design & technology innovation, automotive tech (Honda manufacturing link), skilled trades centre of excellence, specialized arts."
EP-24,Superior-Greenstone District School Board,SGDSB,English Public,English,"12 Hemlo Drive, Marathon, ON P0T 2E0","North Shore Lake Superior & Greenstone (Marathon, Geraldton, Nipigon)",https://www.sgdsb.on.ca,15,1650,350,Nicole Morden Cormier,Pinky McRae,8,"Multi-grade classroom innovation, land-based experiential learning, heavy equipment/mining/forestry SHSM, Ojibwe culture."
EP-25,Thames Valley District School Board,TVDSB,English Public,English,"1250 Dundas Street, London, ON N6A 5L1","Middlesex, Elgin, and Oxford Counties, City of London",https://www.tvdsb.ca,160,82500,11000,Mark Fisher,Beth Mai,13,"BealArt prestige program, aviation & health tech SHSMs, French Immersion, advanced manufacturing, IB."
EP-26,Toronto District School Board,TDSB,English Public,English,"5050 Yonge Street, Toronto, ON M2N 5N8","City of Toronto (Toronto, Scarborough, North York, Etobicoke, York, East York)",https://www.tdsb.on.ca,582,238000,39000,Colleen Russell-Rawlins,Rachel Chernos Lin,22,"Specialized arts (Claude Watson, Rosedale, Wexford), TOPS/MaCS STEM, Africentric curriculum, 60+ SHSMs, adult education."
EP-27,Trillium Lakelands District School Board,TLDSB,English Public,English,"300 County Road 36, Lindsay, ON K9V 4R4","City of Kawartha Lakes, Haliburton County, District Municipality of Muskoka",https://www.tldsb.ca,48,16700,2300,Wes Hahn,Colleen Wilcox,9,"EcoSchools gold standards, outdoor environmental education centres, trades & construction mentorships, hospitality SHSM."
EP-28,Upper Canada District School Board,UCDSB,English Public,English,"225 Central Avenue West, Brockville, ON K6V 5X1","Lanark, Leeds-Grenville, Stormont-Dundas-Glengarry, Prescott-Russell",https://www.ucdsb.on.ca,85,27800,4200,Ron Ferguson,Jamie Schoular,11,"TR Leger School of Adult & Alternative Ed (15+ campuses), 'Real-World Learning' initiative, manufacturing/agriculture SHSMs."
EP-29,Upper Grand District School Board,UGDSB,English Public,English,"500 Victoria Road North, Guelph, ON N1E 6K2","City of Guelph, Wellington County, and Dufferin County",https://www.ugdsb.ca,76,35500,4500,Peter Sovran,Ralf Mesenbrink,10,"Community Environmental Leadership Program (CELP), University of Guelph agri-biotech links, IB at GCVI, mental health."
EP-30,Waterloo Region District School Board,WRDSB,English Public,English,"51 Ardelt Avenue, Kitchener, ON N2C 2E1","Regional Municipality of Waterloo (Kitchener, Waterloo, Cambridge, Woolwich)",https://www.wrdsb.ca,121,65500,8500,jeewan chanicka,Joanne Weston,11,"Digital fluency, AI/coding literacy, Eastwood CI Integrated Arts, Fast Forward vocational pathways, IB at Cameron Heights."
EP-31,York Region District School Board,YRDSB,English Public,English,"60 Wellington Street West, Aurora, ON L4G 3H2","Regional Municipality of York (Markham, Vaughan, Richmond Hill, Newmarket)",https://www.yrdsb.ca,213,128500,15500,Bill Cober,Ron Lynn,12,"Arts York (Unionville HS), extensive IB/AP programs, high provincial EQAO scores, High Performance Athlete programs, STEM."
EC-01,Algonquin and Lakeshore Catholic District School Board,ALCDSB,English Catholic,English,"151 Dairy Avenue, Napanee, ON K7R 4B2","Frontenac, Lennox & Addington, Hastings, Prince Edward Counties (Kingston/Belleville)",https://www.alcdsb.on.ca,37,12400,1800,David DeSantis,Terry Shea,8,"Catholic Social Teaching, early reading intervention, environmental stewardship, health & social care SHSMs."
EC-02,Brant Haldimand Norfolk Catholic District School Board,BHNCDSB,English Catholic,English,"322 Fairview Drive, Brantford, ON N3T 5M8","City of Brantford, Brant, Haldimand, and Norfolk Counties",https://www.bhncdsb.ca,32,11800,1500,Mike McDonald,Rick Petrella,6,"Faith-filled learning communities, skilled trades academies, inclusive special education, parish synergy."
EC-03,Bruce-Grey Catholic District School Board,BGCDSB,English Catholic,English,"799 16th Avenue, Hanover, ON N4N 3A1","Bruce & Grey Counties (Owen Sound, Walkerton, Hanover)",https://www.bgcdsb.org,13,4900,650,Gary O'Donnell,Lori Di Castri,5,"'Let Your Light Shine' vision, close parish ties, outdoor education, agriculture/trades pathways."
EC-04,Catholic District School Board of Eastern Ontario,CDSBEO,English Catholic,English,"2755 Highway 43, Kemptville, ON K0G 1J0","Lanark, Leeds-Grenville, Stormont-Dundas-Glengarry, Prescott-Russell",https://www.cdsbeo.on.ca,40,13200,1900,Laurie Corrigan,Sue Wilson,8,"Eastern Ontario Catholic Curriculum Co-op, technology-enhanced classrooms, agriculture and construction SHSMs."
EC-05,Dufferin-Peel Catholic District School Board,DPCDSB,English Catholic,English,"40 Matheson Boulevard West, Mississauga, ON L5R 1C5","Peel Region (Mississauga, Brampton, Caledon) & Dufferin County",https://www.dpcdsb.org,151,73000,9500,Marianne Mazzorato,Luz del Rosario,11,"Catholic leadership development, IB and AP programmes, high graduation rates, multicultural ministry."
EC-06,Durham Catholic District School Board,DCDSB,English Catholic,English,"650 Rossland Road West, Oshawa, ON L1J 7C4","Durham Region (Ajax, Pickering, Whitby, Oshawa, Clarington, Scugog)",https://www.dcdsb.ca,44,23500,3000,Gerard Winn,Monique Forster,8,"Archbishop Anthony Meagher Adult Ed Centre, STEM/Culinary SHSMs, French Immersion, social justice."
EC-07,Halton Catholic District School Board,HCDSB,English Catholic,English,"802 Drury Lane, Burlington, ON L7R 2Y2","Halton Region (Oakville, Burlington, Milton, Halton Hills)",https://www.hcdsb.org,56,37000,4600,John Klein,Marvin Duarte,9,"Top provincial EQAO results, comprehensive French Immersion, global outreach, STEM academies."
EC-08,Hamilton-Wentworth Catholic District School Board,HWCDSB,English Catholic,English,"90 Mulberry Street, Hamilton, ON L8N 3R9",City of Hamilton,https://www.hwcdsb.ca,55,29800,3800,David Hansen,Patrick Daly,9,"St. Mary Catholic Resource Centre, healthcare/biotech pathways with McMaster University, youth chaplaincy."
EC-09,Huron-Perth Catholic District School Board,HPCDSB,English Catholic,English,"87 Mill Street, Dublin, ON N0K 1E0","Huron & Perth Counties (Stratford, Goderich, Clinton, St. Marys)",https://www.huronperthcatholic.ca,18,4800,650,Chris Roehrig,Mary Helen Van Loon,5,"Small class sizes, parish connectedness, early literacy foundations, community-embedded learning."
EC-10,Huron-Superior Catholic District School Board,HSCDSB,English Catholic,English,"90 Ontario Avenue, Sault Ste. Marie, ON P6B 6G7","Algoma District (Sault Ste. Marie, Elliot Lake, Blind River, Wawa, Chapleau)",https://www.hscdsb.on.ca,19,4500,700,Danny Viotto,Gary Trembinski,7,"Indigenous Catholic spirituality, early French immersion, dual-credit partnership with Sault College."
EC-11,Kenora Catholic District School Board,KCDSB,English Catholic,English,"1292 Heenan Place, Kenora, ON P9N 2Y8",Kenora and Red Lake area,https://www.kcdsb.on.ca,5,1500,250,Nicole Kurtz,Teresa Gallik,5,"St. Thomas Aquinas High School excellence, First Nations reconciliation, lake-based outdoor ministry."
EC-12,London District Catholic School Board,LDCSB,English Catholic,English,"5200 Wellington Road South, London, ON N6E 3X8","Middlesex, Elgin, and Oxford Counties, City of London",https://www.ldcsb.ca,53,25500,3500,Vince Romeo,Gabe Pizzuti,9,"High student enrollment growth, Catholic Graduate Expectations, Fanshawe College dual credit, French Immersion."
EC-13,Niagara Catholic District School Board,NCDSB,English Catholic,English,"427 Rice Road, Welland, ON L3C 7C1","Niagara Region (St. Catharines, Niagara Falls, Welland, Grimsby)",https://www.niagaracatholic.ca,57,22400,2900,Camillo Cipriano,Danny Di Lorenzo,8,"Pope Francis Centre for Learning, culinary and tourism SHSMs, faith-based mental health initiatives."
EC-14,Nipissing-Parry Sound Catholic District School Board,NPSCDSB,English Catholic,English,"1000 High Street, North Bay, ON P1B 6S6","Nipissing & Parry Sound Districts (North Bay, Callander, Mattawa)",https://www.npsc.ca,12,3200,500,Paula Mann,Shawn Fitzsimmons,6,"St. Joseph-Scollard Hall innovation, robotics/engineering pathways, strong parish links."
EC-15,Northeastern Catholic District School Board,NCDSB,English Catholic,English,"383 Thomas Street, Timmins, ON P4N 8A9","Cochrane & Timiskaming (Timmins, Kirkland Lake, Cochrane, New Liskeard)",https://www.northeastcatholic.ca,13,2400,400,Tricia Stefanic Weltz,Glenn Sheculski,7,"'Be the Light of Christ', bilingual Catholic programming, Northern trades and environmental literacy."
EC-16,Northwest Catholic District School Board,TNCDSB,English Catholic,English,"555 Flinders Avenue, Fort Frances, ON P9A 3L2","Rainy River & Kenora Districts (Fort Frances, Dryden, Sioux Lookout)",https://www.thenorthwestcatholic.ca,5,1300,220,Jackie Robinson,Cathy Bowen,6,"Early intervention, Anishinaabe cultural integration, values-driven leadership."
EC-17,Ottawa Catholic School Board,OCSB,English Catholic,English,"570 West Hunt Club Road, Nepean (Ottawa), ON K2G 3R4",City of Ottawa,https://www.ocsb.ca,89,46500,5500,Thomas D'Amico,Mark Mullan,8,"Deep Learning (NPDL framework), 1:1 Chromebook digital ecosystem, universal French pathways, comprehensive inclusion."
EC-18,Peterborough Victoria Northumberland and Clarington Catholic DSB,PVNCCDSB,English Catholic,English,"1355 Lansdowne Street West, Peterborough, ON K9J 7M3","Peterborough, Northumberland, Kawartha Lakes, and Clarington",https://www.pvnccdsb.on.ca,36,15400,2100,Stephen O'Sullivan,Kevin MacKenzie,7,"Faith, Excellence, Equity, outdoor eco-spirituality, specialized trades and healthcare pathways."
EC-19,Renfrew County Catholic District School Board,RCCDSB,English Catholic,English,"499 Pembroke Street West, Pembroke, ON K8A 5P1","Renfrew County (Pembroke, Petawawa, Renfrew, Barry's Bay)",https://www.rccdsb.edu.on.ca,20,5200,750,Mark Searson,Bob Schreader,6,"Strong French Immersion, science-focused STEM partnerships, rural community stewardship."
EC-20,Simcoe Muskoka Catholic District School Board,SMCDSB,English Catholic,English,"46 Alliance Boulevard, Barrie, ON L4M 5K3","County of Simcoe, District of Muskoka, Town of Parry Sound",https://www.smcdsb.on.ca,51,23200,3100,Frances Bagley,Maria Hardie,8,"Dual-credit Georgian College programs, Catholic community leadership, high-growth school construction."
EC-21,St. Clair Catholic District School Board,SCCDSB,English Catholic,English,"420 Creek Street, Wallaceburg, ON N8A 4C4",Lambton County and Municipality of Chatham-Kent,https://www.st-clair.net,28,9100,1300,Scott Johnson,John Van Heck,7,"St. Patrick's & Ursuline College excellence, specialized tech and manufacturing, experiential Catholic service."
EC-22,Sudbury Catholic District School Board,SCDSB,English Catholic,English,"165A D'Youville Street, Sudbury, ON P3C 5E7",Greater Sudbury area,https://www.sudburycatholicschools.ca,18,6300,900,Joanne Bénard,Michael Bellmore,6,"Robotics/coding academies (Bishop Carter), Anishinabek youth leadership, mental health & well-being."
EC-23,Superior North Catholic District School Board,SNCDSB,English Catholic,English,"21 Simcoe Plaza, Terrace Bay, ON P0T 2W0","North Shore Lake Superior & Highway 11 (Terrace Bay, Marathon, Geraldton)",https://www.sncdsb.on.ca,9,750,150,Maria Vasanelli,Judy Wawia,5,"Experiential outdoor learning, digital learning networks across isolated mining towns, strong parish foundations."
